"stimuli","avg","min","max","st_dev","count"
"Болгарин, который продавал чаи на углу, был совершенно щедрый ",2.55882352941176,1,5,1.15970676728915,34
"Болгарин, который продавал чай на углу, был немного скупой ",3.5,1,5,1.33143804689789,34
"Болгарин, который продавал чай на углу, был немного щедрый ",2.42307692307692,1,5,1.36156019104781,26
"Болгарин, который продавал чай на углу, был совершенно скупой ",3.18181818181818,1,5,1.53000297088244,33
"Вода в ванне немного горячая ",4.3030303030303,2,5,0.847232571554606,33
"Вода в ванне немного холодная ",4.35294117647059,1,5,1.20308575328954,34
"Вода в ванне совершенно горячая ",2.70588235294118,1,5,1.44661384692094,34
"Вода в ванне совершенно холодная ",4.42307692307692,2,5,0.856648208920181,26
"Все студенты в пятой группе немного ленивые ",4.64705882352941,2,5,0.733705949735561,34
"Все студенты в пятой группе немного трудолюбивые ",2.15151515151515,1,5,1.30195075082576,33
"Все студенты в пятой группе совершенно ленивые ",3.92307692307692,1,5,1.35419575905633,26
"Все студенты в пятой группе совершенно трудолюбивые ",1.85294117647059,1,5,1.0482988511314,34
"Интернет в общежитии немного быстрый ",1.73529411764706,1,3,0.898106544580817,34
"Интернет в общежитии немного медленный ",4.36363636363636,1,5,1.29465685169328,33
"Интернет в общежитии совершенно быстрый ",1.79411764705882,1,4,0.844928247436141,34
"Интернет в общежитии совершенно медленный ",2.19230769230769,1,5,1.41475738610493,26
"Комната Вадика немного светлая ",2.5,1,5,1.47648230602334,26
"Комната Вадика немного тёмная ",4.47058823529412,2,5,0.861123090404092,34
"Комната Вадика совершенно светлая ",3.24242424242424,1,5,1.1734112405265,33
"Комната Вадика совершенно тёмная ",4.26470588235294,1,5,0.99418989495824,34
"Лицо на той картине немного красивое ",1.84615384615385,1,4,1.04660623702738,26
"Лицо на той картине немного уродливое ",4.23529411764706,1,5,1.1821609265781,34
"Лицо на той картине совершенно красивое ",2.32352941176471,1,5,1.38652799937402,34
"Лицо на той картине совершенно уродливое ",4.33333333333333,2,5,0.98952850725316,33
"Машины гантели немного лёгкие ",2.30769230769231,1,5,1.37896282094133,26
"Машины гантели немного тяжёлые ",3.44117647058824,1,5,1.58001105616746,34
"Машины гантели совершенно лёгкие ",3.02941176470588,1,5,1.71420613515318,34
"Машины гантели совершенно тяжёлые ",1.63636363636364,1,5,1.14067364466633,33
"Моя соседка по парте немного глупая ",4.88461538461539,3,5,0.431455497304005,26
"Моя соседка по парте немного умная ",2,1,5,1.18065210538049,34
"Моя соседка по парте совершенно глупая ",4.26470588235294,1,5,1.02421658248787,34
"Моя соседка по парте совершенно умная ",1.63636363636364,1,4,0.859439563690411,33
"Наш лев немного трусливый ",4.45454545454545,2,5,1.00283688513228,33
"Наш лев немного храбрый ",2.41176470588235,1,5,1.37328729826102,34
"Наш лев совершенно трусливый ",3.52941176470588,1,5,1.33110330445466,34
"Наш лев совершенно храбрый ",1.80769230769231,1,5,1.1320505560877,26
"Новый учитель информатики немного добрый ",2.30769230769231,1,5,1.4904826270502,26
"Новый учитель информатики немного злой ",4.55882352941176,3,5,0.746351792533165,34
"Новый учитель информатики совершенно злой ",2.84625668449198,1,5,1.22706227151755,67
"Эта гора немного высокая ",2.19230769230769,1,5,1.29674147829799,26
"Эта гора немного низкая ",3.47058823529412,1,5,1.4819171472699,34
"Эта гора совершенно высокая ",1.82352941176471,1,5,1.02899151085505,34
"Эта гора совершенно низкая ",2.27272727272727,1,5,1.15305917217871,33
"Эта скатерть немного грязная ",4.67647058823529,1,5,0.806059935935818,34
"Эта скатерть немного чистая ",1.57575757575758,1,4,0.902437775912522,33
"Эта скатерть совершенно грязная ",4.19230769230769,1,5,1.16684980247608,26
"Эта скатерть совершенно чистая ",4.41176470588235,1,5,1.13130782614833,34
